strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
JN381857	JN381857	JN381857.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
KU871338	KU871338	KU871338.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
MH753131	MH753131	MH753131.1	2016-06-12	Asia	China			10977	Anopheles sinensis	2019-01-09	2019-01-09		Xiao et al	Xiao,C.,Li,C.,Di,D.,Cappelle,J.,Liu,L.,Wang,X.,Pang,L.,Xu,J.,Liu,K.,Li,B.,Shao,D.,Qiu,Y.,Ren,W.,Widen,F.,Chevalier,V.,Wei,J.,Wu,X.,Ma,Z.,Wu,Y.,Lu,Y.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		3	good	CHN
KU871362	KU871362	KU871362.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
LC705012	LC705012	LC705012.1	2019-03-12	Asia	Japan	Kochi		10897	Bos taurus	2022-04-08	2022-05-12		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara, Kanagawa 252-5201		3	good	JPN
AB569990	AB569990	AB569990.2	1972-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10977		2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
KU871317	KU871317	KU871317.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JN381854	JN381854	JN381854.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
KF297915	KF297915	KF297915.1	2009-XX-XX	Asia	China	Guangdong		10976	Sus scrofa	2013-10-02	2013-12-13		Liu et al	Liu,W.J.,Zhu,M.,Pei,J.J.,Dong,X.Y.,Liu,W.,Zhao,M.Q.,Wang,J.Y.,Gou,H.C.,Luo,Y.W.,Chen,J.D.,Liu,W.-J.,Pei,J.-J.,Dong,X.-Y.,Zhao,M.-Q.,Wang,J.-Y.,Gou,H.-C.,Luo,Y.-W.,Chen,J.-D.	South China Agricultural University, College of Veterinary Medicine		3	good	CHN
DI075091	DI075091	DI075091.1						10818		2008-02-21	2008-02-21		Lee et al	Lee,Y.M.,Yun,S.			3	good	
ON929279	ON929279	ON929279.1	2015-XX-XX	Asia	China			10299	Sus scrofa	2023-03-19	2023-03-19		Sun et al	Sun,Y.,Ding,H.	South China Agricultural University, College of Veterinary Medicine Department of Microbiology and Immunology		3	good	CHN
KR265316	KR265316	KR265316.1		Asia	China			10976		2015-10-14	2015-10-14		Yin et al	Yin,S.,Zheng,F.,Wang,H.	Henan Institution of Traditional Chinese Medicine, Department of Scientific Research		3	good	CHN
KU871320	KU871320	KU871320.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KF667311	KF667311	KF667311.1	2006-XX-XX	Asia	Taiwan			10926	Homo sapiens	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		3	good	
KU363309	KU363309	KU363309.1	2013-08-11	Asia	China			10976	Sus scrofa	2016-05-04	2016-05-04		Wu et al	Wu,R.,Wang,Q.,Liu,H.,Chai,C.,He,B.,Huang,X.,Wen,Y.,Wen,X.,Yan,Q.,Ma,X.,Cao,S.,Yuan,L.	Sichuan Agricultural University, Preventive Veterinary Medicine		3	good	CHN
KX779521	KX779521	KX779521.1	2016-02-12	Asia	China	Sichuan Provence		10716	Sus scrofa	2016-10-03	2016-10-03		Zhuo et al	Zhuo,X.,Cai,Y.,Zhou,Y.	ANIMTECH, Livestock and Poultry Biological Products Key Laboratory of Sichuan Province		3	good	CHN
OK257215	OK257215	OK257215.1		Asia	India			10864		2021-11-08	2021-11-08		Tripathi et al	Tripathi,A.,Banerjee,A.,Vrati,S.	Regional Centre for Biotechnology, Laboratory of Virology		3	good	IND
KC183732	KC183732	KC183732.1	2010-08-25	Asia	China			10296	Homo sapiens	2013-05-12	2013-05-12		Xu et al	Xu,L.J.,Liu,R.,Ye,S.,Ling,H.,Zhu,C.M.,Xu,L.	Department of Infectious Diseases and Gastroenterology, Children's Hospital of Chongqing Medical University		3	good	CHN
MT764733	MT764733	MT764733.1		Asia	China			10966		2021-05-27	2021-05-27		Davis et al	Davis,E.H.,Beck,A.S.,Li,L.,White,M.M.,Banks-Greenberg,M.,Thompson,J.K.,Widen,S.G.,Barrett,A.D.T.,Bourne,N.	University of Texas Medical Branch, Pathology		3	good	CHN
MH258852	MH258852	MH258852.1		Asia	China			10977		2018-07-14	2018-07-14		Liu et al	Liu,X.,Zhao,D.,Jia,L.,Xu,H.,Na,R.,Ge,Y.,Liu,S.,Yu,Y.,Li,Y.	National Institutes for Food and Drug Control, Department of Arbovirus Vaccine Research		3	good	CHN
AY585242	AY585242	AY585242.1		Asia	South Korea			10968		2004-04-28	2004-04-28		Yun et al	Yun,S.I.,Kim,S.Y.,Rice,C.M.,Lee,Y.M.,Choi,W.Y.,Nam,J.H.,Ju,Y.R.,Park,K.Y.,Cho,H.W.,Yun,S.-I.,Kim,S.-Y.,Choi,W.-Y.,Nam,J.-H.,Ju,Y.-R.,Park,K.-Y.,Cho,H.-W.,Lee,Y.-M.	Chungbuk National University, School of Medicine, Department of Microbiology		3	good	
KY650724	KY650724	KY650724.1	1982-07-15	Asia	China	Zhejiang		10968	Culex tritaeniorhynchus	2018-03-31	2018-03-31		Yan et al	Yan,J.-Y.,Sun,Y.,Deng,X.,Zhang,Y.-J.,Xie,S.-Y.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute		3	good	CHN
AF014161	AF014161	AF014161.1						10976		1997-08-12	2006-06-05		Lin et al	Lin,R.J.,Chang,B.L.,Yu,H.P.,Liao,C.L.,Lin,Y.L.,Chen,L.K.,Lai,S.C.,Huang,Y.L.,Jan,J.T.,Chin,C.	National Defense Medical Center, Institute of Preventive Medicine		3	good	
L48961	L48961	L48961.1						10976		1995-11-21	1995-11-15		Hashimoto et al	Hashimoto,H.,Nomoto,A.,Watanabe,K.,Mori,T.,Takezawa,T.,Aizawa,C.,Takegami,T.,Hiramatsu,K.			3	good	
AB269326	AB269326	AB269326.1	1960-XX-XX	Asia	Japan	Tokyo		10683		2006-08-12	2017-03-30		Fujii et al	Fujii,Y.,Takasaki,T.,Kotaki,A.,Oya,A.,Kurane,I.	Chigasaki, Kanagawa 253-0087		3	good	JPN
KU871344	KU871344	KU871344.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KX254415	KX254415	KX254415.1		Asia	China			10927		2017-07-26	2017-07-26		Beck et al	Beck,A.S.,Whiteman,M.,Thaxton,G.,Wood,T.G.,Widen,S.G.,Thompson,J.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology		3	good	CHN
MH258848	MH258848	MH258848.1		Asia	China			10977		2018-07-14	2018-07-14		Liu et al	Liu,X.,Zhao,D.,Jia,L.,Xu,H.,Na,R.,Ge,Y.,Liu,S.,Yu,Y.,Li,Y.	National Institutes for Food and Drug Control, Department of Arbovirus Vaccine Research		3	good	CHN
MH258850	MH258850	MH258850.1		Asia	China			10977		2018-07-14	2018-07-14		Liu et al	Liu,X.,Zhao,D.,Jia,L.,Xu,H.,Na,R.,Ge,Y.,Liu,S.,Yu,Y.,Li,Y.	National Institutes for Food and Drug Control, Department of Arbovirus Vaccine Research		3	good	CHN
JN711458	JN711458	JN711458.1	2009-XX-XX	Asia	China			10976	Myotis ricketti	2012-01-24	2012-01-24		Liu et al	Liu,S.,Chen,Q.	Southern Medical University, Epidemiology		3	good	CHN
KU871332	KU871332	KU871332.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KF667310	KF667310	KF667310.1	2005-XX-XX	Asia	Taiwan			10926	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		3	good	
MT764729	MT764729	MT764729.1		Asia	China			10972		2021-05-27	2021-05-27		Davis et al	Davis,E.H.,Beck,A.S.,Li,L.,White,M.M.,Banks-Greenberg,M.,Thompson,J.K.,Widen,S.G.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology		3	good	CHN
KU871355	KU871355	KU871355.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AY303794	AY303794	AY303794.1						10970		2004-06-01	2005-07-18		Chiou et al	Chiou,S.S.,Liu,H.,Chuang,C.K.,Lin,C.C.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
HE861351	HE861351	HE861351.1						10977		2013-08-12	2013-08-12		Johari et al	Johari,J.,Kianmehr,A.,Mustafa,M.R.,Abubakar,S.,Zandi,K.	University of Malaya, Department of Medical Microbiology, Faculty of Medicine, 50603 Kuala Lumpur		3	good	
KU871369	KU871369	KU871369.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
D90194	D90194	D90194.1						10976		1993-04-29	2007-12-07		Aihara et al	Aihara,S.,Rao,C.,Yu,Y.X.,Lee,T.,Watanabe,K.,Komiya,T.,Sumiyoshi,H.,Hashimoto,H.,Nomoto,A.			3	good	
KX254416	KX254416	KX254416.1		Asia	China			10955		2017-07-26	2017-07-26		Beck et al	Beck,A.S.,Whiteman,M.,Thaxton,G.,Wood,T.G.,Widen,S.G.,Thompson,J.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology		3	good	CHN
AY303792	AY303792	AY303792.1						10970		2004-06-01	2005-07-18		Chiou et al	Chiou,S.S.,Liu,H.,Chuang,C.K.,Lin,C.C.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
KU871361	KU871361	KU871361.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KC915016	KC915016	KC915016.1	2010-05-08	Asia	China			10968	Sus scrofa	2013-08-20	2013-08-20		Tang et al	Tang,D.Y.,Xu,J.,Li,C.Y.,Zeng,Z.Y.,L,J.,H,F.,G,Z.L.,Wang,H.G.	Guizhou University, College of Animal Science		3	good	CHN
KY609173	KY609173	KY609173.1	2013-10-20	Asia	China			10299		2017-03-14	2017-03-14		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JF706284	JF706284	JF706284.1	1990-XX-XX	Asia	China			10977	Rousettus leschenaultii	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
JN381869	JN381869	JN381869.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
AB569983	AB569983	AB569983.2	1975-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10977	Sus scrofa	2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
AB569984	AB569984	AB569984.2	1975-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10977	Sus scrofa	2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
U15763	U15763	U15763.1						10969		1995-03-02	1995-03-30		Ni et al	Ni,H.,Chang,G.J.,Xie,H.,Trent,D.W.,Barrett,A.D.	Haolin Ni, Pathology, University of Texas Medical Branch, Galveston, TX 77555-0605		3	good	
JF706285	JF706285	JF706285.1	1990-XX-XX	Asia	China			10977	Rousettus leschenaultii	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
KT239164	KT239164	KT239164.1		Asia	India			10977	Homo sapiens	2016-05-27	2016-05-27		Sharma et al	Sharma,D.,Kaur,M.,Bhattacharyya,S.,Vrati,S.	Translational Health Science and Technology Institute, Vaccine and Infectious Disease Research Centre		3	good	IND
AF098737	AF098737	AF098737.1		Asia	Taiwan			10976	Aedes albopictus	1999-03-03	1999-02-08		Wu et al	Wu,C.N.	Academia Sinica, Institute of Biomedical Sciences		3	good	
EF543861	EF543861	EF543861.1						10977		2007-05-13	2007-05-13		Hao et al	Hao,Z.,Zhi,S.,Shishan,Y.	Chinese Academy of Agricultural Science, Shanghai Veterinary Research Institute		3	good	
JN381865	JN381865	JN381865.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
KU871341	KU871341	KU871341.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871318	KU871318	KU871318.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871356	KU871356	KU871356.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
MH753126	MH753126	MH753126.1	2015-08-06	Asia	China			10961	Sus scrofa	2019-01-09	2019-01-09		Xiao et al	Xiao,C.,Li,C.,Di,D.,Cappelle,J.,Liu,L.,Wang,X.,Pang,L.,Xu,J.,Liu,K.,Li,B.,Shao,D.,Qiu,Y.,Ren,W.,Widen,F.,Chevalier,V.,Wei,J.,Wu,X.,Ma,Z.,Wu,Y.,Lu,Y.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		3	good	CHN
KF907505	KF907505	KF907505.1		Asia	Taiwan			10977	Culex tritaeniorhynchus	2014-03-01	2014-03-01		Aubry et al	Aubry,F.	Faculte de Medecine de Marseille, UMR 190 Emergence des Pathologies Virales		3	good	
JN381858	JN381858	JN381858.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
JN381870	JN381870	JN381870.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
U14163	U14163	U14163.1						10976		1994-09-13	1900-01-01		Ni et al	Ni,H.,Burns,N.J.,Chang,G.J.,Zhang,M.J.,Wills,M.R.,Trent,D.W.,Sanders,P.G.,Barrett,A.D.,Xie,H.	Gwong-Jen Chang, Division of Vector-Borne Infectious Diseases, Molecular Biology Branch, National Center for Infectious Diseases, Centers for Disease Control and Prevention, Public Health Service, Ramport Drive, Fort Collins, CO 80522		3	good	
JF706280	JF706280	JF706280.1	1955-XX-XX	Asia	China			10977		2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
DI085220	DI085220	DI085220.1						10968		2008-02-21	2008-02-21		Lee et al	Lee,Y.M.,Yun,S.			3	good	
KU871331	KU871331	KU871331.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JN381856	JN381856	JN381856.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
KU871321	KU871321	KU871321.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AF315119	AF315119	AF315119.1						10976		2001-02-20	2001-02-20		Ming et al	Ming,Z.,Guanmu,D.,Lili,J.,Defu,L.,Yongxin,Y.	National Institute for the Control of Phamarceutical and Biological Products, Vaccine I Lab		3	good	
KU871322	KU871322	KU871322.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JN381871	JN381871	JN381871.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
MF002373	MF002373	MF002373.1	2016-05-01	Asia	China			10977	Sus scrofa	2017-09-30	2017-09-30		Lu et al	Lu,B.X.,Li,B.,Zhao,W.,Qin,Y.B.,He,Y.,Su,Q.L.,Liang,J.X.,Duan,Q.P.,Zhou,Y.N.,Jiang,D.F.,Lu,J.Z.,Yang,S.Y.	Guangxi Veterinary Research Institute /Guangxi Key Laboratory of Veterinary Biotechnology, Virology Department		3	good	CHN
AY303798	AY303798	AY303798.1						10970		2004-06-01	2004-06-01		Chiou et al	Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
AB196924	AB196924	AB196924.1						10977		2004-12-21	2005-07-23		Zhao et al	Zhao,Z.,Date,T.,Li,Y.,Kato,T.,Miyamoto,M.,Yasui,K.,Wakita,T.	Takanobu Kato, The Tokyo Metropolitan Institute for Neuroscience, Department of Microbiology; 2-6 Musashidai, Fuchu-shi, Tokyo 183-8526		3	good	
KU871360	KU871360	KU871360.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871367	KU871367	KU871367.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871345	KU871345	KU871345.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU904395	KU904395	KU904395.1	2013-XX-XX	Asia	China			10399	Culicidae	2017-04-14	2017-04-14		Guo et al	Guo,X.	Institute of Microbiology and Epidemiology		3	good	CHN
JF706276	JF706276	JF706276.1	2002-XX-XX	Asia	China			10977	Culicoides	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
KU871319	KU871319	KU871319.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871329	KU871329	KU871329.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AB569985	AB569985	AB569985.2	1975-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10977	Sus scrofa	2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
JX072965	JX072965	JX072965.1	2010-XX-XX	Asia	India	West Bengal		10915	Homo sapiens	2013-07-31	2017-06-29		Taraphdar et al	Taraphdar,D.,Chatterjee,S.,Sarkar,A.	ICMR Virus Unit, Kolkata, Arbovirology		3	good	IND
