strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
AB241119	AB241119	AB241119.1		Asia	Japan	Mie		10965		2005-11-11	2009-01-10		Tajima et al	Tajima,S.,Nerome,R.,Takasaki,T.,Kurane,I.	Virology 1; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
MF124315	MF124315	MF124315.1	2016-02-XX	Asia	China			10965	Sus scrofa	2018-03-26	2018-03-26		Feng et al	Feng,Y.,Zhou,Y.	College of Veterinary Medicine, Sichuan Agricultural University		1	good	CHN
JN381843	JN381843	JN381843.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
JF706277	JF706277	JF706277.1	2006-XX-XX	Asia	China			10965	Armigeres	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
KF667321	KF667321	KF667321.1	2010-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
MH184573	MH184573	MH184573.1	2017-XX-XX	Asia	China			10969	Culicoides	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
KY927818	KY927818	KY927818.1	2015-09-09	Asia	Cambodia			10896	Sus scrofa	2017-09-05	2017-09-05		Duong et al	Duong,V.,Choeung,R.,Gorman,C.,Laurent,D.,Crabol,Y.,Mey,C.,Peng,B.,Di Francesco,J.,Hul,V.,Sothy,H.,Santy,K.,Richner,B.,Pommier,J.D.,Sorn,S.,Chevalier,V.,Buchy,P.,de Lamballerie,X.,Cappelle,J.,Horwood,P.F.,Dussart,P.,Pheng,B.,Francesco,J.D.,Seng,S.,Ky,S.,de Lamballerie,X.X.,Horwood,P.	Institut Pasteur du Cambodge, Virology		1	good	KHM
KY927815	KY927815	KY927815.1	2014-09-12	Asia	Cambodia			10931	Culex tritaeniorhynchus	2017-09-05	2017-09-05		Duong et al	Duong,V.,Choeung,R.,Gorman,C.,Laurent,D.,Crabol,Y.,Mey,C.,Peng,B.,Di Francesco,J.,Hul,V.,Sothy,H.,Santy,K.,Richner,B.,Pommier,J.D.,Sorn,S.,Chevalier,V.,Buchy,P.,de Lamballerie,X.,Cappelle,J.,Horwood,P.F.,Dussart,P.,Pheng,B.,Francesco,J.D.,Seng,S.,Ky,S.,de Lamballerie,X.X.,Horwood,P.	Institut Pasteur du Cambodge, Virology		1	good	KHM
JN381831	JN381831	JN381831.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
MT253733	MT253733	MT253733.1	2002-XX-XX	Oceania	Australia	Badu Island In the Torres Strait		10966	Sus scrofa	2020-07-07	2020-07-07		Pyke et al	Pyke,A.T.,Lee,J.,Smith,I.	Queensland Health Forensic and Scientific Services, Public Health Virology		1	good	AUS
LC708276	LC708276	LC708276.1	2017-08-18	Asia	Japan	Kochi		10817	Sus scrofa domesticus	2022-05-12	2022-05-12		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara, Kanagawa 252-5201		1	good	JPN
JF706278	JF706278	JF706278.1	2002-XX-XX	Asia	China			10965	Culex modestus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
AB594829	AB594829	AB594829.1	2003-08-18	Asia	Japan	Tottori		10965	Equus caballus	2011-04-19	2011-04-19		Yamanaka et al	Yamanaka,T.,Tsujimura,K.,Kondo,T.,Yasuda,W.,Okada,A.,Noda,K.,Okumura,T.,Matsumura,T.,Shimojima,M.,Nagao,Y.,Shimoda,H.,Tamaru,S.,Maeda,K.	Laboratory of Veterinary Microbiology, Faculty of Agriculture; 1677-1 Yoshida, Yamaguchi, Yamaguchi 753-8515		1	good	JPN
AB051292	AB051292	AB051292.1						10965		2001-01-11	2001-01-11		Takegami et al	Takegami,T.,Ishak,H.,Miyamoto,C.,Shirai,Y.,Kamimura,K.	Tsutomu Takegami, Kanazawa Medical University, Medical Research Institute; Uchinada, Kahoku, Ishikawa 920-0293		1	good	
AB698906	AB698906	AB698906.1	2005-XX-XX	Asia	Japan	Mie		10965	Sus scrofa domesticus	2012-08-17	2012-08-17		Tajima et al	Tajima,S.,Kotaki,A.,Yamaguchi,Y.,Nerome,R.,Kurane,I.,Takasaki,T.	Department of Virology 1; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
JF706267	JF706267	JF706267.1	2009-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
KF667327	KF667327	KF667327.1	2011-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
AB698908	AB698908	AB698908.1	2005-XX-XX	Asia	Japan	Tokyo		10965	Sus scrofa domesticus	2012-08-17	2012-08-17		Tajima et al	Tajima,S.,Kotaki,A.,Yamaguchi,Y.,Nerome,R.,Kurane,I.,Takasaki,T.	Department of Virology 1; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
JN381850	JN381850	JN381850.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
AB698905	AB698905	AB698905.1	2006-XX-XX	Asia	Japan	Mie		10965	Sus scrofa domesticus	2012-08-17	2012-08-17		Tajima et al	Tajima,S.,Kotaki,A.,Yamaguchi,Y.,Nerome,R.,Kurane,I.,Takasaki,T.	Department of Virology 1; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
GQ902062	GQ902062	GQ902062.1		Asia	Thailand			10942	Homo sapiens	2010-10-04	2012-02-23		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci		1	good	THA
AF045551	AF045551	AF045551.2						10963		1998-02-12	2003-05-09		Nam et al	Nam,J.H.,Chae,S.L.,Won,S.Y.,Kim,E.J.,Yoon,K.S.,Kim,B.I.,Jeong,Y.S.,Cho,H.W.,Jung,Y.S.	Korea National Institute of Health, Viral Disease		1	good	
MZ702743	MZ702743	MZ702743.1	2018-11-02	Asia	India			10966	Sus scrofa	2021-10-30	2021-10-30		Pegu et al	Pegu,S.R.,Das,P.J.,Rajkhowa,S.,Yadav,A.K.,Choudhury,M.,Doley,J.,Deka,N.J.,Gulati,B.R.,Gupta,V.K.	Principal Scientist, Animal Genetics and Breeding		1	good	IND
KY650727	KY650727	KY650727.1	2010-07-03	Asia	China	Zhejiang		10965	Culex tritaeniorhynchus	2018-03-31	2018-03-31		Yan et al	Yan,J.-Y.,Sun,Y.,Deng,X.,Zhang,Y.-J.,Xie,S.-Y.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute		1	good	CHN
OM572547	OM572547	OM572547.1	2018-XX-XX	Asia	China	Liaoning		10958	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Wang,Z.,Yan,J.,Liang,L.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
ON804798	ON804798	ON804798.1	2019-10-XX	Asia	Singapore			10946	Culex	2022-12-10	2022-12-10		Lim et al	Lim,M.J.,Loh,Z.Y.,Yeo,H.L.,Yenamandra,S.P.,Kong,M.,Pang,H.Y.,Lee,M.H.,Humaidi,M.,Chua,C.,Griffiths,J.,Ng,L.C.,Hapuarachchi,H.C.,Mailepessov,D.	Environmental Health Institute, Field Ecology, EETD		1	good	SGP
MH184568	MH184568	MH184568.1	2017-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
KC196115	KC196115	KC196115.1	2009-06-30	Asia	Laos			10965	Homo sapiens	2012-12-23	2013-03-11		Aubry et al	Aubry,F.,Vongsouvath,M.,Nougairede,A.,Phetsouvanh,R.,Sibounheuang,B.,Charrel,R.,Rattanavong,S.,Phommasone,K.,Sengvilaipraserth,O.,de Lamballerie,X.,Newton,P.N.,Dubot-Peres,A.	"Faculte de Medecine de Marseille, UMR 190 ""Emergence des Pathologies Virales"""""""		1	good	
KX357114	KX357114	KX357114.1	2015-08-XX	Asia	China			10960	Culex tritaeniorhynchus	2016-09-21	2016-09-21		Chu et al	Chu,H.,Wu,Z.,Zhou,M.	Jiangsu Provincial Center for Disease Control and Prevention, Department of Disinfection and Vector Control		1	good	CHN
MK558811	MK558811	MK558811.1	2014-07-03	Asia	China			10960	Culex tritaeniorhynchus	2020-03-31	2020-03-31		Sun et al	Sun,Y.,Yan,J.	Zhejiang Provincial Center for Disease Control and Prevention, Department of Microbiology		1	good	CHN
AB981184	AB981184	AB981184.1	2013-08-02	Asia	Japan	Yamaguchi	Yoshida	10965	Culex tritaeniorhynchus	2015-05-28	2015-10-31		Kuwata et al	Kuwata,R.,Sugiyama,H.,Yonemitsu,K.,Van Dung,N.,Terada,Y.,Taniguchi,M.,Shimoda,H.,Takano,A.,Maeda,K.	Joint Faculty of Veterinary Medicine; 1677-1 Yoshida, Yamaguchi, Yamaguchi 753-8511		1	good	JPN
AB471670	AB471670	AB471670.2	2008-08-18	Asia	Japan	Okinawa	Okinawa Island	10965	Sus scrofa	2008-11-29	2014-03-27		Nidaira et al	Nidaira,M.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Nakamura,M.	Nanjo, Okinawa 901-1202		1	good	JPN
GU205163	GU205163	GU205163.1	2007-06-XX	Asia	China	Guangxi		10965	Homo sapiens	2010-07-07	2010-07-07		Wang et al	Wang,W.,Liu,W.,Zhang,J.,Deubel,V.	Institut Pasteur of Shanghai, Chinese Academy of Sciences, Lab of Emerging Viruses		1	good	CHN
KM658163	KM658163	KM658163.1	2012-08-XX	Asia	China			10965	Sus scrofa	2015-01-19	2015-01-19		Yuan et al	Yuan,L.,Cao,S.,Wu,R.,Shi,S.,Liu,H.	Sichuan Agricultural University, Institute of Preventive Veterinary Medicine		1	good	CHN
KU351668	KU351668	KU351668.1	2014-08-25	Asia	China	Sichuan Province		10965	Sus scrofa	2016-06-01	2016-06-01		Yue et al	Yue,H.,Tian,G.,Wen,X.,Cao,S.,Wu,R.,Liu,H.,Feng,Y.,Cao,Y.	Sichuan Agricultural University, Preventive Veterinary Medicine		1	good	CHN
MT560941	MT560941	MT560941.1	2016-11-01	Asia	China			10912	Culex quinquefasciatus	2021-06-01	2021-06-01		Wang et al	Wang,J.,Cheng,R.,Fu,S.,He,Y.,Li,F.,Xu,S.,Wang,H.,Wang,B.,Lu,X.,Liang,G.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Encephalitis		1	good	CHN
MN544779	MN544779	MN544779.1	2019-XX-XX	Asia	China			10965	Sus scrofa	2020-04-07	2020-04-07		Wei et al	Wei,J.,Wang,X.,Pang,L.,Li,C.,Anwar,M.N.,Guo,S.,Ma,Z.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		1	good	CHN
ON875960	ON875960	ON875960.1	2019-06-28	Asia	India			10965	Culex tritaeniorhynchus	2022-11-15	2022-11-15		Pegu et al	Pegu,S.R.,Das,P.J.,Sonowal,J.,Sengar,G.S.,Deb,R.,Rajkhowa,S.,Choudhury,M.,Gulati,B.R.,Gupta,V.K.	ICAR-National Research Centre on Pig, Animal Genetics and Breeding		1	good	IND
ON929280	ON929280	ON929280.1	2018-XX-XX	Asia	China			10299	Sus scrofa	2023-03-19	2023-03-19		Sun et al	Sun,Y.,Ding,H.	South China Agricultural University, College of Veterinary Medicine Department of Microbiology and Immunology		1	good	CHN
OR711406	OR711406	OR711406.1	2022-10-XX	Asia	China			10965	Anatidae	2023-11-08	2023-11-08		Li et al	Li,C.,Zhao,W.	Yangzhou University, College of Veterinary Medicine		1	good	CHN
OM572537	OM572537	OM572537.1	2019-XX-XX	Asia	China	Shandong		10965	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Zhang,W.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
JF499788	JF499788	JF499788.1	2009-XX-XX	Asia	Taiwan			10965	Culicidae	2011-12-13	2011-12-13		Chen et al	Chen,Y.-Y.,Fan,Y.-C.,Tu,W.-C.,Chang,R.-Y.,Shih,C.-C.,Lu,I.-H.,Chien,M.-S.,Lee,W.-C.,Chen,T.-H.,Chang,G.-J.,Chiou,S.-S.,Fang,Y.-C.	National Chung Hsing University, Graduate Institute of Microbiology and Public Health		1	good	
LC623822	LC623822	LC623822.1	2020-07-XX	Asia	Japan	Kagawa	Sakaide	10915	Culex tritaeniorhynchus	2021-04-08	2021-04-08		Tajima et al	Tajima,S.,Matsuno,K.,Maeki,T.,Nakayama,E.,Taniguchi,S.,Lim,C.K.	Department of Virology I; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640		1	good	JPN
KT957420	KT957420	KT957420.1	2007-07-XX	Asia	China	Yunnan Province		10965	Culex tritaeniorhynchus	2016-04-15	2016-04-19		Feng et al	Feng,Y.,Zhang,H.L.,Fu,S.H.,Li,M.H.,Wang,H.Y.,Liang,G.D.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
OM572549	OM572549	OM572549.1	2018-XX-XX	Asia	China	Zhejiang		10962	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Wang,Z.,Yan,J.,Liang,L.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
LC798351	LC798351	LC798351.1	2021-08-04	Asia	Japan	Kochi		10649	Sus scrofa	2024-02-10	2024-02-10		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology, School of Life and Environmental Science; 1-17-1 Fuchinobe Chuouku, Sagamihara, Kanagawa 252-5201		1	good	JPN
KY078829	KY078829	KY078829.1	2015-08-XX	Asia	China			10296	Culex pipiens pallens	2017-06-18	2017-06-18		Ren et al	Ren,X.,Fu,S.,Dai,P.,Wang,H.,Li,Y.,Li,X.,Lei,W.,Gao,X.,He,Y.,Lv,Z.,Cheng,J.,Wang,G.,Liang,G.	Shanxi Medical University, Department of Immunology and Microbiology		1	good	CHN
HQ652538	HQ652538	HQ652538.1	2009-XX-XX	Asia	China			10965	Culicidae	2011-06-27	2022-04-01		Li et al	Li,Y.X.,Li,M.H.,Fu,S.H.,Chen,W.X.,Liu,Q.Y.,Zhang,H.L.,Da,W.,Hu,S.L.,La Mu,S.D.,Bai,J.,Yin,Z.D.,Jiang,H.Y.,Yue,Y.H.,Duo Ji,D.Z.,Xu,H.M.,Li,G.,Cuo Mu,G.G.,Luo,H.M.,Wang,J.L.,Wang,J.,Ye,X.M.,Yang Jin,Z.M.,Zhang,W.,Ning,G.J.,Wang,H.Y.,Li,G.C.,Yong,J.,Liang,X.F.,Liang,G.D.	National Institute for Viral Disease Control and Prevention, Department of Viral Encephalitis and Arbovirus		1	good	CHN
HM228921	HM228921	HM228921.1	1990-XX-XX	Asia	Vietnam			10965	Homo sapiens	2010-08-11	2010-08-11		Hoang et al	Hoang,N.V.,Loan,D.P.,Trang,B.M.,Thu,L.H.,Nga,P.T.	National Institude of Hygiene and Epidemiology, Virology		1	good	
JN381848	JN381848	JN381848.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
JF706271	JF706271	JF706271.1	2006-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
GU187972	GU187972	GU187972.1	2009-06-XX	Asia	China			10965	Culex tritaeniorhynchus	2009-12-09	2009-12-09		Liu et al	Liu,X.,Yu,Y.,Wang,H.,Liang,G.,Jia,L.,Dong,G.	National Institute for the Control of Pharmaceutical and Biological Products, Viral Vaccine 1		1	good	CHN
JN381837	JN381837	JN381837.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
KF667322	KF667322	KF667322.1	2011-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
KY650726	KY650726	KY650726.1	2010-07-03	Asia	China	Zhejiang		10965	Culex tritaeniorhynchus	2018-03-31	2018-03-31		Yan et al	Yan,J.-Y.,Sun,Y.,Deng,X.,Zhang,Y.-J.,Xie,S.-Y.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute		1	good	CHN
JN381830	JN381830	JN381830.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
MT253734	MT253734	MT253734.1	2004-XX-XX	Oceania	Australia	Bamaga	Northern Peninsular Area	10966	Culex sitiens	2020-07-07	2020-07-07		Pyke et al	Pyke,A.T.,Smith,I.,van den Hurk,A.	Queensland Health Forensic and Scientific Services, Public Health Virology		1	good	AUS
JN381842	JN381842	JN381842.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
MH753129	MH753129	MH753129.1	2016-08-11	Asia	China			10965	Culex tritaeniorhynchus	2019-01-09	2019-01-09		Xiao et al	Xiao,C.,Li,C.,Di,D.,Cappelle,J.,Liu,L.,Wang,X.,Pang,L.,Xu,J.,Liu,K.,Li,B.,Shao,D.,Qiu,Y.,Ren,W.,Widen,F.,Chevalier,V.,Wei,J.,Wu,X.,Ma,Z.,Wu,Y.,Lu,Y.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		1	good	CHN
OM572536	OM572536	OM572536.1	2016-XX-XX	Asia	China	Shandong		10826	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Zhang,W.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
LC785647	LC785647	LC785647.1	2019-08-20	Asia	Japan	Kochi		10929	Sus scrofa domesticus	2023-11-10	2023-11-10		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology, School of Life and Environmental Science; 1-17-1 Fuchinobe Chuouku, Sagamihara, Kanagawa 252-5201		1	good	JPN
LC708274	LC708274	LC708274.1	2013-07-30	Asia	Japan	Kochi		10749	Sus scrofa domesticus	2022-05-12	2022-05-12		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara, Kanagawa 252-5201		1	good	JPN
MT232844	MT232844	MT232844.1	2015-06-XX	Asia	India			10965	Sus scrofa	2020-11-24	2020-11-24		Raut et al	Raut,A.A.,Aasdev,A.,Mishra,A.,Dutta,B.,Bharali,A.,Konwar,N.,Dubey,C.K.,Chingtham,S.,Pawar,S.D.,Raghuvanshi,R.,Sakhrie,A.,Sen,A.,Patil,S.S.,Singh,V.P.,Barman,N.N.,Patil,S.	ICAR - National Institute of High Security Animal Diseases, Pathogenomics Lab		1	good	IND
ON804797	ON804797	ON804797.1	2019-11-XX	Asia	Singapore			10949	Culex tritaeniorhynchus	2022-12-10	2022-12-10		Lim et al	Lim,M.J.,Loh,Z.Y.,Yeo,H.L.,Yenamandra,S.P.,Kong,M.,Pang,H.Y.,Lee,M.H.,Humaidi,M.,Chua,C.,Griffiths,J.,Ng,L.C.,Hapuarachchi,H.C.,Mailepessov,D.	Environmental Health Institute, Field Ecology, EETD		1	good	SGP
