strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	clade_membership	sra_accessions	abbr_authors	authors	institution
GU253949	GU253949	GU253949.1	2009-07-XX	Asia	China			1500	Culicidae	2009-12-12	2016-07-24			Ma et al	Ma,K.,Wang,X.,Cao,R.,Mao,X.,Chen,P.	Nanjing Agricultural University, College of Veterinary Medicine
GU253948	GU253948	GU253948.1	2009-06-XX	Asia	China			1500	Culicidae	2009-12-12	2016-07-24			Ma et al	Ma,K.,Wang,X.,Cao,R.,Mao,X.,Chen,P.	Nanjing Agricultural University, College of Veterinary Medicine
GU253947	GU253947	GU253947.1	2009-06-XX	Asia	China			1500	Culicidae	2009-12-12	2016-07-24			Ma et al	Ma,K.,Wang,X.,Cao,R.,Mao,X.,Chen,P.	Nanjing Agricultural University, College of Veterinary Medicine
GU205163	GU205163	GU205163.1	2007-06-XX	Asia	China	Guangxi		10965	Homo sapiens	2010-07-07	2010-07-07	1		Wang et al	Wang,W.,Liu,W.,Zhang,J.,Deubel,V.	Institut Pasteur of Shanghai, Chinese Academy of Sciences, Lab of Emerging Viruses
GU187972	GU187972	GU187972.1	2009-06-XX	Asia	China			10965	Culex tritaeniorhynchus	2009-12-09	2009-12-09	1		Liu et al	Liu,X.,Yu,Y.,Wang,H.,Liang,G.,Jia,L.,Dong,G.	National Institute for the Control of Pharmaceutical and Biological Products, Viral Vaccine 1
GU108335	GU108335	GU108335.1	2009-XX-XX	Asia	Japan			1500	Sus scrofa	2010-02-01	2016-07-25			Tang et al	Tang,W.F.,Ogawa,M.,Eshita,Y.,Aono,H.,Makino,Y.,Tang,W.-F.	Faculty of Medicine, Oita University, Department of Public Health
GU108334	GU108334	GU108334.1	2009-XX-XX	Asia	Japan			1500	Sus scrofa	2010-02-01	2016-07-25			Tang et al	Tang,W.F.,Ogawa,M.,Eshita,Y.,Aono,H.,Makino,Y.,Tang,W.-F.	Faculty of Medicine, Oita University, Department of Public Health
GQ918133	GQ918133	GQ918133.2						10961		2009-10-14	2010-05-25	3		Zhang et al	Zhang,Y.,Cao,R.,Gu,J.,Chen,P.	Nanjing Agriculture University, Key Laboratory of Animal Disease Diagnostic and Immunology, Ministry of Agriculture
GQ902063	GQ902063	GQ902063.1		Asia	Thailand			10940	Culicidae	2010-10-04	2012-02-23	3		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci
GQ902062	GQ902062	GQ902062.1		Asia	Thailand			10942	Homo sapiens	2010-10-04	2012-02-23	1		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci
GQ902061	GQ902061	GQ902061.1		Asia	Thailand			10942	Sus scrofa	2010-10-04	2012-02-23	1		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci
GQ902060	GQ902060	GQ902060.1		Asia	Thailand			10942	Culicidae	2010-10-04	2012-02-23	1		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci
GQ902059	GQ902059	GQ902059.1		Asia	Thailand			10942	Homo sapiens	2010-10-04	2012-02-23	1		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci
GQ902058	GQ902058	GQ902058.1	1982-XX-XX	Asia	Thailand			10942	Sus scrofa	2010-10-04	2012-02-23	1		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci
GQ856664	GQ856664	GQ856664.1	2008-07-14	Asia	China			1500	Homo sapiens	2009-09-21	2016-07-24			Zhu et al	Zhu,L.,Wang,X.,Wang,J.,Xie,J.,Chen,W.,Zhang,Y.	Fujian Center for Disease Control and Prevention, Dept of Viral Disease Control
GQ856663	GQ856663	GQ856663.1	2008-07-07	Asia	China			1500	Homo sapiens	2009-09-21	2016-07-24			Zhu et al	Zhu,L.,Wang,X.,Wang,J.,Xie,J.,Chen,W.,Zhang,Y.	Fujian Center for Disease Control and Prevention, Dept of Viral Disease Control
GQ856662	GQ856662	GQ856662.1	2007-07-16	Asia	China			1500	Homo sapiens	2009-09-21	2016-07-24			Zhu et al	Zhu,L.,Wang,X.,Wang,J.,Xie,J.,Chen,W.,Zhang,Y.	Fujian Center for Disease Control and Prevention, Dept of Viral Disease Control
GQ856661	GQ856661	GQ856661.1	2005-09-14	Asia	China			1500	Homo sapiens	2009-09-21	2016-07-24			Zhu et al	Zhu,L.,Wang,X.,Wang,J.,Xie,J.,Chen,W.,Zhang,Y.	Fujian Center for Disease Control and Prevention, Dept of Viral Disease Control
GQ856660	GQ856660	GQ856660.1	2005-07-18	Asia	China			1500	Homo sapiens	2009-09-21	2016-07-24			Zhu et al	Zhu,L.,Wang,X.,Wang,J.,Xie,J.,Chen,W.,Zhang,Y.	Fujian Center for Disease Control and Prevention, Dept of Viral Disease Control
GQ850124	GQ850124	GQ850124.1	1993-XX-XX	Asia	Laos	Vientiane		240	Sus scrofa	2010-10-05	2016-07-24			Saito et al	Saito,M.	University of the Ryukyus, Graduate School of Medicine, Division of Molecular Virology and Oncology
GQ850123	GQ850123	GQ850123.1	1993-XX-XX	Asia	Laos	Vientiane		240	Sus scrofa	2010-10-05	2016-07-24			Saito et al	Saito,M.	University of the Ryukyus, Graduate School of Medicine, Division of Molecular Virology and Oncology
GQ845083	GQ845083	GQ845083.1	2008-07-22	Asia	China			981	Sus scrofa	2009-10-03	2010-04-21			Fan et al	Fan,J.M.,Luo,J.,Chen,L.,Teng,M.,Bu,D.,Wang,F.Y.,Wang,L.,Wang,C.Q.,Zhang,G.P.,Fan,J.-M.	Henan Academy of Agricultural Sciences, Henan Provincial Key Laboratory of Animal Immunology
GQ845082	GQ845082	GQ845082.1	2008-07-15	Asia	China			1485	Sus scrofa	2009-10-03	2010-04-21			Fan et al	Fan,J.M.,Luo,J.,Chen,L.,Teng,M.,Bu,D.,Wang,F.Y.,Wang,L.,Wang,C.Q.,Zhang,G.P.,Fan,J.-M.	Henan Academy of Agricultural Sciences, Henan Provincial Key Laboratory of Animal Immunology
GQ845081	GQ845081	GQ845081.1	2008-07-02	Asia	China			1485	Sus scrofa	2009-10-03	2010-04-21			Fan et al	Fan,J.M.,Luo,J.,Chen,L.,Teng,M.,Bu,D.,Wang,F.Y.,Wang,L.,Wang,C.Q.,Zhang,G.P.,Fan,J.-M.	Henan Academy of Agricultural Sciences, Henan Provincial Key Laboratory of Animal Immunology
GQ495005	GQ495005	GQ495005.1	2008-XX-XX	Asia	China	Heilongjiang Province		1522	Sus scrofa	2009-09-27	2009-09-27			Zhang et al	Zhang,Y.,Li,X.,Fu,F.,Chai,Z.,Xiao,J.,Li,H.	Chinese Academy of Agricultural Sciences, Division of Porcine Infectious Diseases, Harbin Veterinary Research Institute
GQ495004	GQ495004	GQ495004.1	2008-XX-XX	Asia	China	Heilongjiang Province		1522	Sus scrofa	2009-09-27	2009-09-27			Zhang et al	Zhang,Y.,Li,X.,Fu,F.,Chai,Z.,Xiao,J.,Li,H.	Chinese Academy of Agricultural Sciences, Division of Porcine Infectious Diseases, Harbin Veterinary Research Institute
GQ495003	GQ495003	GQ495003.1	2008-XX-XX	Asia	China	Heilongjiang Province		554	Sus scrofa	2009-09-27	2016-07-24			Zhang et al	Zhang,Y.,Li,X.,Fu,F.,Chai,Z.,Xiao,J.,Li,H.	Chinese Academy of Agricultural Sciences, Division of Porcine Infectious Diseases, Harbin Veterinary Research Institute
GQ495002	GQ495002	GQ495002.1	2008-XX-XX	Asia	China	Heilongjiang Province		1523	Sus scrofa	2009-09-27	2009-09-27			Zhang et al	Zhang,Y.,Li,X.,Fu,F.,Chai,Z.,Xiao,J.,Li,H.	Chinese Academy of Agricultural Sciences, Division of Porcine Infectious Diseases, Harbin Veterinary Research Institute
GQ495001	GQ495001	GQ495001.1	2008-XX-XX	Asia	China	Heilongjiang Province		554	Sus scrofa	2009-09-27	2009-09-27			Zhang et al	Zhang,Y.,Li,X.,Fu,F.,Chai,Z.,Xiao,J.,Li,H.	Chinese Academy of Agricultural Sciences, Division of Porcine Infectious Diseases, Harbin Veterinary Research Institute
GQ495000	GQ495000	GQ495000.1	2008-XX-XX	Asia	China	Heilongjiang Province		554	Sus scrofa	2009-09-27	2016-07-24			Zhang et al	Zhang,Y.,Li,X.,Fu,F.,Chai,Z.,Xiao,J.,Li,H.	Chinese Academy of Agricultural Sciences, Division of Porcine Infectious Diseases, Harbin Veterinary Research Institute
GQ415356	GQ415356	GQ415356.1	1949-XX-XX	Asia	Korea			1500	Homo sapiens	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415355	GQ415355	GQ415355.1	1991-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415354	GQ415354	GQ415354.1	1989-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415353	GQ415353	GQ415353.1	1988-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415352	GQ415352	GQ415352.1	1987-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415351	GQ415351	GQ415351.1	1986-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415350	GQ415350	GQ415350.1	1985-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415349	GQ415349	GQ415349.1	1984-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415348	GQ415348	GQ415348.1	1983-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ415347	GQ415347	GQ415347.1	1982-XX-XX					1500	Culicidae	2009-08-18	2016-07-24			Schuh et al	Schuh,A.J.,Li,L.,Tesh,R.B.,Innis,B.L.,Barrett,A.D.,Barrett,A.D.T.	University of Texas Medical Branch, Pathology
GQ398499	GQ398499	GQ398499.1	2007-12-XX	Asia	India			489	Homo sapiens	2009-09-14	2016-07-24			Pujhari et al	Pujhari,S.K.,Prabhakar,S.,Ratho,R.K.,Modi,M.,Sharma,M.,Mishra,B.	Post Graduate Institute of Medical Education And Research, Virology
GQ398498	GQ398498	GQ398498.1	2007-12-XX	Asia	India			489	Homo sapiens	2009-09-14	2016-07-24			Pujhari et al	Pujhari,S.K.,Prabhakar,S.,Ratho,R.K.,Modi,M.,Sharma,M.,Mishra,B.	Post Graduate Institute of Medical Education And Research, Virology
GQ398497	GQ398497	GQ398497.1	2007-11-XX	Asia	India			489	Homo sapiens	2009-09-14	2011-04-19			Pujhari et al	Pujhari,S.K.,Prabhakar,S.,Ratho,R.K.,Modi,M.,Sharma,M.,Mishra,B.	Post Graduate Institute of Medical Education And Research, Virology
GQ398496	GQ398496	GQ398496.1	2007-11-XX	Asia	India			489	Homo sapiens	2009-09-14	2011-04-19			Pujhari et al	Pujhari,S.K.,Prabhakar,S.,Ratho,R.K.,Modi,M.,Sharma,M.,Mishra,B.	Post Graduate Institute of Medical Education And Research, Virology
GQ398495	GQ398495	GQ398495.1	2007-11-XX	Asia	India			489	Homo sapiens	2009-09-14	2011-04-19			Pujhari et al	Pujhari,S.K.,Prabhakar,S.,Ratho,R.K.,Modi,M.,Sharma,M.,Mishra,B.	Post Graduate Institute of Medical Education And Research, Virology
GQ398494	GQ398494	GQ398494.1	2007-10-XX	Asia	India			489	Homo sapiens	2009-09-14	2016-07-24			Pujhari et al	Pujhari,S.K.,Prabhakar,S.,Ratho,R.K.,Modi,M.,Sharma,M.,Mishra,B.	Post Graduate Institute of Medical Education And Research, Virology
GQ398493	GQ398493	GQ398493.1	2007-10-XX	Asia	India			489	Homo sapiens	2009-09-14	2016-07-24			Pujhari et al	Pujhari,S.K.,Prabhakar,S.,Ratho,R.K.,Modi,M.,Sharma,M.,Mishra,B.	Post Graduate Institute of Medical Education And Research, Virology
GQ387646	GQ387646	GQ387646.1	2009-03-XX	Asia	India			1500	Equus caballus	2010-01-18	2016-07-24			Gulati et al	Gulati,B.R.,Singha,H.,Singh,B.K.,Virmani,N.,Singh,R.K.	National Research Centre on Equines, Equine Health Unit
GQ336810	GQ336810	GQ336810.1	2009-XX-XX	Asia	China			493		2009-08-08	2016-07-24			Fan et al	Fan,J.-M.,Luo,J.	Henan Academy of Agricultural Sciences, Henan Provincial Key Laboratory of Animal Immunology
GQ336809	GQ336809	GQ336809.1	2009-XX-XX	Asia	China			1485		2009-08-08	2016-07-24			Fan et al	Fan,J.M.,Luo,J.,Chen,L.,Teng,M.,Bu,D.,Wang,F.Y.,Wang,L.,Wang,C.Q.,Zhang,G.P.,Fan,J.-M.	Henan Academy of Agricultural Sciences, Henan Provincial Key Laboratory of Animal Immunology
GQ304752	GQ304752	GQ304752.1	2005-XX-XX	Asia	India	Uttar Pradesh		585	Homo sapiens	2009-07-28	2009-07-28			Mishra et al	Mishra,N.,Saxena,S.K.	Centre for Cellular and Molecular Biology (CSIR), Laboratory of Infectious Diseases & Molecular Virology
GQ260635	GQ260635	GQ260635.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260634	GQ260634	GQ260634.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260633	GQ260633	GQ260633.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260632	GQ260632	GQ260632.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260631	GQ260631	GQ260631.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260630	GQ260630	GQ260630.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260629	GQ260629	GQ260629.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260628	GQ260628	GQ260628.1	2008-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260627	GQ260627	GQ260627.1	2007-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260626	GQ260626	GQ260626.1	2007-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260625	GQ260625	GQ260625.1	2007-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260624	GQ260624	GQ260624.1	2007-XX-XX	Asia	Taiwan			1500	Sus scrofa	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260623	GQ260623	GQ260623.1	2007-XX-XX	Asia	Taiwan			1500	Sus scrofa	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260622	GQ260622	GQ260622.1	2007-XX-XX	Asia	Taiwan			1500	Sus scrofa	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260621	GQ260621	GQ260621.1	2006-XX-XX	Asia	Taiwan			1500	Homo sapiens	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260620	GQ260620	GQ260620.1	2006-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
GQ260619	GQ260619	GQ260619.1	2006-XX-XX	Asia	Taiwan			1500	Culex tritaeniorhynchus	2010-05-02	2016-07-25			Huang et al	Huang,J.H.,Lin,T.H.,Teng,H.J.,Su,C.L.,Tsai,K.H.,Lu,L.C.,Lin,C.,Yang,C.F.,Chang,S.F.,Liao,T.L.,Yu,S.K.,Cheng,C.H.,Chang,M.C.,Hu,H.C.,Shu,P.Y.,Shu,P.-Y.,Huang,J.-H.,Su,C.-L.,Tsai,K.-H.,Lin,T.-H.,Teng,H.-J.,Lu,L.-C.,Yang,C.-F.,Cheng,S.-F.,Liao,T.-L.,Yu,S.-K.,Cheng,C.-H.,Chang,M.-C.,Hu,H.-C.	Research and Diagnostic Center, Centers for Disease Control
